hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
Beach Front Villa Nilaveli,Entire villa,11,4.81,Eastern Province,Trincomalee District,"Nilaveli, Trincomalee",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Jeep safari to the nearby national park; Bird watching in the national park; Wildlife photography on a guided tour; Day trip to nearby temples and shrines,Nilaveli Beach (Beaches); Marble Beach (Beaches); Pigeon Island National Park (National Parks); Koneswaram Temple (Religious Sites); Kanniya Hot Springs (Nature & Wildlife Areas); Fort Frederick Trincomalee (Historic Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography,beach | tropical | ocean,https://images.pexels.com/photos/6875531/pexels-photo-6875531.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$231,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Wake up to the sound of waves at Beach Front Villa Nilaveli — a sun-drenched villa retreat in Nilaveli with direct beach access and Beach Access.,8.546706,81.225004
Villa Noumi Full Property,Entire home,12,4.75,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/12960439/pexels-photo-12960439.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$175,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Where refined comfort meets tropical splendour — Villa Noumi Full Property in Colombo delivers a premium home experience with Beach Access and proximity to Mount Lavinia Beach.,6.909543,79.849724
The Grand Luxury Apartment in Heart of Colombo,Entire serviced apartment,4,4.73,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,apartment | modern | city,https://images.pexels.com/photos/14022373/pexels-photo-14022373.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$116,Beach Access; Full Kitchen; Air Conditioning; Free WiFi,"The Grand Luxury Apartment in Heart of Colombo places you at the heart of Colombo's vibrant scene, delivering a modern serviced apartment stay with Beach Access and easy exploration of Mount Lavinia Beach.",6.906285,79.84998
HummingBird Hill Cottage-Nuwara Eliya,Private room in nature lodge,8,5,Central Province,Nuwara Eliya District,"Nuwara Eliya, Pussellawa",Scenic hill walks and hiking; Panoramic hill-top views; Photography of hill country; Birdwatching on the property; Bird photography with a guide; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,mountain | hillside | scenic,https://images.pexels.com/photos/8484840/pexels-photo-8484840.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$76,Mountain View; Family Friendly; Free WiFi,"Perched above the mist-laced hills of Nuwara Eliya, HummingBird Hill Cottage-Nuwara Eliya offers a breathtaking lodge room escape with panoramic mountain views and Mountain View.",6.90817,80.829214
GOOD STORY VILLA in Ahangama with private pool,Entire villa,6,5,Southern Province,Galle District,"Ahangama, Unawatuna, Galle",Swimming in the hotel pool; Poolside relaxation and sunbathing; Tea tasting at a nearby tea estate; Guided tea plantation walk; Tea factory tour; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Day trip to nearby ancient ruins; Guided heritage tour of historic sites,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers; Photography of rolling hills and plantations; Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching,pool | villa | tropical,https://images.pexels.com/photos/1320679/pexels-photo-1320679.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$326,Swimming Pool; Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Unwind in your private tropical retreat at GOOD STORY VILLA in Ahangama with private pool, where a sparkling pool meets lush resort-style surroundings in the heart of Ahangama.",6.094021,80.268817
The Farmhouse -Tea Plantation Holiday Home,Farm stay,10,4.83,Central Province,Nuwara Eliya District,"Nuwara Eliya, Haputale, Ella",Farm activities and animal feeding; Organic cooking experience; Farm-to-table dining; Tea plantation walks; Tea tasting sessions; Tea factory tour nearby; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Tea tasting at a nearby tea estate; Guided tea plantation walk,Horton Plains National Park (National Parks); Hakgala Botanic Gardens (Gardens); Victoria Park Nuwara Eliya (Gardens); Pedro Tea Factory (Farms); Bluefield Tea Gardens (Farms); Ambewela Farms (Farms),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Guided tea plantation walks; Tea factory tours and tea tasting; Scenic walks through tea fields; Learning the tea production process; Meeting local tea pickers,farm | countryside | nature,https://images.pexels.com/photos/19084143/pexels-photo-19084143.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$76,Family Friendly; Free WiFi,"Wake to birdsong and tropical greenery at The Farmhouse -Tea Plantation Holiday Home, a peaceful farm stay tucked into Nuwara Eliya's lush surroundings near Horton Plains National Park.",6.956896,80.756058
Sulanga - 2 BR Luxury Chalet,Entire home,6,4.67,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,chalet | mountain | cozy,https://images.pexels.com/photos/31817160/pexels-photo-31817160.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$132,Beach Access; Mountain View; Full Kitchen; Family Friendly; Free Parking; Free WiFi,"Find your altitude at Sulanga - 2 BR Luxury Chalet — a tranquil home hideaway in Colombo where cool mountain air, Beach Access, and views of Mount Lavinia Beach await.",6.915173,79.825084
VAUX Park Street 4 Bed Penthouse 9PH,Entire serviced apartment,8,5,Central Province,Kandy District,"Kandy, Peradeniya",Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Day trip to nearby temples and shrines,Temple of the Sacred Tooth Relic (Religious Sites); Royal Botanical Gardens Peradeniya (Gardens); Ramboda Waterfall (Waterfalls); Kandy Lake (Bodies of Water); Bahiravokanda Vihara Buddha Statue (Religious Sites); Peradeniya Botanical Gardens (Gardens),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Botanical garden walks; Nature and flower photography; Picnics among flowers and trees; Guided plant and herb tours; Bird watching in garden habitats,apartment | modern | city,https://images.pexels.com/photos/34675728/pexels-photo-34675728.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$121,Full Kitchen; Family Friendly; Air Conditioning; Free WiFi,"VAUX Park Street 4 Bed Penthouse 9PH places you at the heart of Kandy's vibrant scene, delivering a modern serviced apartment stay with Full Kitchen and easy exploration of Temple of the Sacred Tooth Relic.",7.270713,80.633012
The Jungle Villa: Infinity Pool + Yoga Shala + Gym,Entire villa,14,4.62,Sabaragamuwa Province,Ratnapura District,"Deniyaya, Habarana, Ella",Swimming in the infinity pool with scenic views; Poolside relaxation; Jungle trekking from the hotel; Birdwatching in jungle surroundings; Night safari walks; Swimming in the hotel pool; Poolside relaxation and sunbathing; Yoga sessions on the property; Meditation and mindfulness classes; Workout at the on-site gym; Fitness training sessions; Guided jungle trek in nearby wildlife area,Udawalawe National Park (National Parks); Sinharaja Forest Reserve (Nature & Wildlife Areas); Adam's Peak (Sri Pada) (Mountains & Trekking); Sinharaja Rainforest Reserve (Nature & Wildlife Areas); Bopath Falls Ratnapura (Waterfalls); Ratnapura Gem Museum (Museums),Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography; Eco tours and nature walks; Butterfly and insect observation; Jeep safari to spot elephants and leopards; Bird watching with a local guide; Wildlife tracking walks; Nature photography; Guided eco tours; Camping inside the park; Temple and shrine visits,jungle | tropical | forest,https://images.pexels.com/photos/6146178/pexels-photo-6146178.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$189,Swimming Pool; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,The Jungle Villa: Infinity Pool + Yoga Shala + Gym is a comfortable villa retreat in Deniyaya — a perfect base for exploring Udawalawe National Park with the comfort of Swimming Pool and Full Kitchen.,6.639127,80.392668
Beautiful 4BR Villa wt Pool~Garden~Cook~River View,Entire villa,12,5,Western Province,Kalutara District,"Bentota, Kandy, Ella",Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; River swimming; River boat rides; Fishing in the river; Riverside walks and cycling; Swimming in the hotel pool; Poolside relaxation and sunbathing; Scenic viewpoint photography; Sunrise and sunset watching from the property; Swimming at the nearby beach,Bentota Beach (Beaches); Kalutara Beach (Beaches); Bentota River Safari (Lagoons & Wetlands); Kalutara Bodhiya (Religious Sites); Beruwala Beach (Beaches); Kande Vihara Aluthgama (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking,river | nature | tropical,https://images.pexels.com/photos/19075391/pexels-photo-19075391.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$223,Swimming Pool; Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Wake to birdsong and tropical greenery at Beautiful 4BR Villa wt Pool~Garden~Cook~River View, a peaceful villa tucked into Bentota's lush surroundings near Bentota Beach.",6.57751,79.959123
Astig Villa Negombo,Room in boutique hotel,10,5,North Western Province,Gampaha District,Negombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Negombo Beach (Beaches); Negombo Fish Market (Town & Heritage); Henarathgoda Botanical Garden (Gardens); Muthurajawela Wetland Reserve (Nature & Wildlife Areas); Marawila Beach (Beaches); Kolomba Kataragama Devalaya (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast,villa | luxury | tropical,https://images.pexels.com/photos/33336002/pexels-photo-33336002.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$113,Beach Access; Spa & Wellness; Restaurant On-site; Family Friendly; Air Conditioning; Free WiFi,"Astig Villa Negombo redefines luxury in Negombo, pairing a refined ambience with Beach Access, Spa & Wellness, and seamless access to Negombo Beach.",7.044992,79.98957
Spacious & Staffed 3 BR on The Beach - Saldana,Entire cottage,6,4.89,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Spa treatments and massages; Body scrubs and wellness therapies; Relaxation sessions; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/35155691/pexels-photo-35155691.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$130,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Wake up to the sound of waves at Spacious & Staffed 3 BR on The Beach - Saldana — a sun-drenched cottage retreat in Hikkaduwa with direct beach access and Beach Access.,6.028159,80.233503
Villa Nilaya,Entire villa,6,5,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/19760822/pexels-photo-19760822.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$280,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Escape the ordinary at Villa Nilaya, a villa-style villa retreat in Galle where Beach Access, Ocean View, and warm hospitality create lasting memories.",6.062881,80.190555
GOOD STORY VILLA,Entire villa,6,4.89,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/19760822/pexels-photo-19760822.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$276,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Your private slice of paradise awaits at GOOD STORY VILLA — an expansive villa in Galle boasting Beach Access, Ocean View, and sweeping villa-style views.",6.014197,80.201466
Blue Peacock Beach House,Entire bungalow,6,4.85,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/13608798/pexels-photo-13608798.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$163,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Wake up to the sound of waves at Blue Peacock Beach House — a sun-drenched bungalow retreat in Hikkaduwa with direct beach access and Beach Access.,6.098382,80.204222
Luxury 5BR Colonial Villa wt Pool~Big Garden~Cook,Entire villa,8,4.92,Southern Province,Galle District,"Galle, Unawatuna",Colonial heritage walking tours; Historical site photography; Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming in the hotel pool; Poolside relaxation and sunbathing; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,pool | villa | tropical,https://images.pexels.com/photos/20651220/pexels-photo-20651220.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$309,Swimming Pool; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Unwind in your private tropical retreat at Luxury 5BR Colonial Villa wt Pool~Big Garden~Cook, where a sparkling pool meets lush resort-style surroundings in the heart of Galle.",6.065519,80.251408
"Wetakeiya House, Ocean Front Villa, Hiriketyia.",Entire villa,6,4.93,Southern Province,Matara District,"Mirissa, Hikkaduwa, Bentota",Swimming in the ocean; Ocean-view relaxation; Sunrise and sunset watching over the ocean; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Mirissa Beach (Beaches); Weligama Beach (Beaches); Parrot Rock Mirissa (Viewpoints); Mirissa Whale Watching (Adventure & Sports); Dondra Head Lighthouse (Viewpoints); Weherehena Temple Matara (Religious Sites),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/4784507/pexels-photo-4784507.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$225,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Wake up to the sound of waves at Wetakeiya House, Ocean Front Villa, Hiriketyia. — a sun-drenched villa retreat in Mirissa with direct beach access and Beach Access.",5.937854,80.538474
OASIA Surf House [adults only],Entire villa,12,4.9,Southern Province,Galle District,"Hikkaduwa, Arugam Bay, Mirissa",Surfing lessons and sessions; Bodyboarding; Watching surfers from the shore; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,surf | beach | ocean,https://images.pexels.com/photos/14025040/pexels-photo-14025040.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$269,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Wake up to the sound of waves at OASIA Surf House [adults only] — a sun-drenched villa retreat in Hikkaduwa with direct beach access and Beach Access.,6.085048,80.256951
Terra villa sunrise,Entire home,6,4.61,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,villa | luxury | tropical,https://images.pexels.com/photos/33726139/pexels-photo-33726139.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$170,Beach Access; Spa & Wellness; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Where refined comfort meets tropical splendour — Terra villa sunrise in Colombo delivers a premium home experience with Beach Access and proximity to Mount Lavinia Beach.,6.974523,79.824812
Family Villa in Hiriketiya Beach,Entire home,6,5,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/34267174/pexels-photo-34267174.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$132,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Steps from the golden sands of Hikkaduwa, Family Villa in Hiriketiya Beach is a breezy home haven where ocean breezes and Hikkaduwa Beach are right at your doorstep.",6.035567,80.265728
Villa Vanna - Your relaxed getaway,Entire villa,9,5,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/27869489/pexels-photo-27869489.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$299,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Luxuriate in the space and privacy of Villa Vanna - Your relaxed getaway, a stunning villa in Galle complete with Beach Access and easy reach of Hikkaduwa Beach.",6.023585,80.202418
